行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
J.出版、影音製作、傳播及資通訊服務業,60 廣播、電視節目編排及傳播業,601 廣播業,6294948,5829140,6225744,6604617,7258559,7444737,7802947,7502573,6845203,6621986,4338024,4113747
J.出版、影音製作、傳播及資通訊服務業,60 廣播、電視節目編排及傳播業,602 電視節目編排及傳播業,9490499,8708331,9384251,9775368,10391753,10582289,10983002,11457724,10745865,10477227,9533267,9063646
J.出版、影音製作、傳播及資通訊服務業,61 電信業,,115665176,106780956,116444314,117123394,125087819,124538284,130081524,131602058,125779643,124609599,117272488,113797076
J.出版、影音製作、傳播及資通訊服務業,62 電腦程式設計、諮詢及相關服務業, ,3712341,3135573,3329532,3569021,4077950,4504043,5052156,5218573,5040033,4972033,4956662,4732450
J.出版、影音製作、傳播及資通訊服務業,63 資訊服務業,631 入口網站經營、資料處理、主機及網站代管服務業,49032554,45547226,49815083,48906506,49745931,50104843,50333558,51160590,49725360,45907123,46827435,52816066
J.出版、影音製作、傳播及資通訊服務業,63 資訊服務業,639 其他資訊服務業,59770,86041,91202,97678,285720,289440,316635,352741,340905,328110,465380,415471
K.金融及保險業,64 金融服務業,641 貨幣中介業,62983065,53939638,60697800,66302485,74194799,77648014,85733414,85146654,77284244,72838438,54938613,49424518
K.金融及保險業,64 金融服務業,642 控股業,1147332,962541,1082675,1246608,1382129,1469525,1746750,1746455,1493272,1402570,1198242,1141072
K.金融及保險業,64 金融服務業,643 信託、基金及類似金融實體,686684,579608,681004,720503,826600,797150,892014,970975,882814,872745,796750,782327
K.金融及保險業,64 金融服務業,649 其他金融服務業,2536383,2142721,2348103,2587539,2746284,2877401,3084654,2673613,2531486,2334457,1754453,1515885
