日期,備轉容量(萬瓩),備轉容量率(%)
2020/3/23,377.12,12.84
2020/3/24,412.53,14.00
2020/3/25,357.67,11.91
2020/3/26,318.73,10.33
2020/3/27,326.44,10.44
2020/3/28,406.61,15.70
2020/3/29,348.99,13.88
2020/3/30,350.82,12.22
2020/3/31,332.16,11.39
2020/4/1,409.47,14.48
2020/4/2,410.81,16.15
2020/4/3,374.89,14.92
2020/4/4,441.42,18.21
2020/4/5,424.93,17.45
2020/4/6,405.43,14.35
2020/4/7,403.71,14.36
2020/4/8,336.37,11.91
2020/4/9,367.81,13.00
2020/4/10,465.03,16.33
2020/4/11,317.88,12.34
2020/4/12,280.91,11.42
2020/4/13,332.76,12.05
2020/4/14,356.29,12.78
2020/4/15,349.68,12.41
2020/4/16,314.4,11.02
2020/4/17,360.89,12.45
2020/4/18,348.86,13.09
2020/4/19,302.74,11.42
2020/4/20,409.11,13.64
2020/4/21,437.57,14.59
2020/4/22,403.06,14.10
2020/4/23,394.82,14.08
2020/4/24,394.77,14.26
2020/4/25,316.64,12.34
2020/4/26,312.02,12.43
2020/4/27,381.05,13.27
2020/4/28,468.71,16.19
2020/4/29,334.57,11.33
2020/4/30,486.44,16.43
2020/5/1,351.2,13.11
2020/5/2,341.37,12.90
2020/5/3,296.66,11.06
2020/5/4,347.55,10.75
2020/5/5,339.96,10.20
2020/5/6,342.63,10.39
2020/5/7,373.546,11.49
2020/5/8,341.3975,10.10
2020/5/9,382.3605,12.87
2020/5/10,301.495,10.25
2020/5/11,335.037,10.09
2020/5/12,376.5592,11.78
2020/5/13,419.889,13.01
2020/5/14,338.194,10.11
2020/5/15,362.19,10.72
2020/5/16,394.6768,13.14
2020/5/17,424.0758,14.78
2020/5/18,408.535,12.45
2020/5/19,462.578,14.76
2020/5/20,495.056,15.71
2020/5/21,398.306,12.62
2020/5/22,367.513,11.90
2020/5/23,406.092,15.10
2020/5/24,428.877,15.94
2020/5/25,394.207,12.15
2020/5/26,356.2955,10.83
2020/5/27,493.228,15.69
2020/5/28,526.111,16.69
2020/5/29,409.867,12.59
2020/5/30,418.6245,14.68
2020/5/31,342.975,11.92
2020/6/1,363.2785,10.79
2020/6/2,407.0865,11.84
2020/6/3,416.255,12.07
2020/6/4,375.382,10.75
2020/6/5,368.27,10.56
2020/6/6,423.97,13.79
2020/6/7,453.55,16.13
2020/6/8,457.981,14.15
2020/6/9,451.54,13.95
2020/6/10,436.729,12.93
2020/6/11,398.543,11.65
2020/6/12,358.6405,10.24
2020/6/13,376.4505,11.93
2020/6/14,457.217,15.33
2020/6/15,503.327,14.34
2020/6/16,402.188,11.27
2020/6/17,397.5316,10.99
2020/6/18,419.15,11.65
2020/6/19,386.13,10.63
2020/6/20,367.529,10.41
2020/6/21,348.372,11.02
2020/6/22,384.98,10.51
2020/6/23,376.78,10.23
2020/6/24,408.6575,10.99
2020/6/25,337.8685,10.61
2020/6/26,390.757,12.87
2020/6/27,361.969,11.88
2020/6/28,341.221,10.97
2020/6/29,401.363,11.04
2020/6/30,464.647,12.67
2020/7/1,402.9545,11.09
2020/7/2,445.7685,12.44
2020/7/3,413.0985,11.54
2020/7/4,428.7365,13.43
2020/7/5,347.5135,11.13
2020/7/6,501.5645,13.98
2020/7/7,460.9995,12.69
2020/7/8,431.546,11.63
2020/7/9,436.67,11.90
2020/7/10,437.9,11.89
2020/7/11,367.1727,11.15
